a,b,c,d,e,f,g,h,j,k,l,m,n,o,p,q,u,v,w,t,s,x,z,i,ö
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1
0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1
0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1
0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0
0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0
0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1
0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1
1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1
0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1
0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1
1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0
0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0
1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1
0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1
0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1
1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1
0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1
0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1
0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0
0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1
1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1
0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0
0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1
0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0
0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1
0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1
1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0
1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0
0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0
0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1
0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0
1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1
1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0
0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1
1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1
0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1
0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1
0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0
1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1
0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1
0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0
0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1
0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0
0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0
0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0
0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1
0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1
0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1
0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1
0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0
0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0
0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1
0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1
0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1
0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1
1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0
0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1
0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1
0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0
0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0
0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0
0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0
0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1
0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1
1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0
0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0
0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1
0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1
0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0
0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1
0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0
0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1
1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0
0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0
0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1
1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1
0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1
0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1
0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0
0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1
0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0
0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1
0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1
0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1
0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1
0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0
0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1
0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0
0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1
1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0
0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1
0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1
1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1
0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0
0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1
0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1
1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1
0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1
0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0
0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1
0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0
0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1
0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0
1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0
0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0
0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0
0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1
1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1
0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0
1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0
0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0
0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0
0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0
0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1
0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1
0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1
0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0
1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0
0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0
