a b c d e f g h
2 2 2 2 2 2 2 2
0 1 0 0 1 0 0 1
1 1 1 1 1 0 1 1
1 1 1 1 1 0 0 1
1 0 0 0 1 0 0 1
1 1 1 0 1 1 1 0
1 0 1 1 0 0 0 1
1 1 1 1 1 1 1 0
0 1 0 0 1 1 0 1
0 0 1 0 1 1 1 0
1 1 0 0 1 1 1 0
1 0 0 0 1 0 0 1
1 0 1 0 1 0 0 1
1 1 0 1 1 0 1 1
1 1 1 0 0 0 0 1
1 0 1 1 0 1 1 0
1 1 1 0 1 0 1 1
1 0 1 0 1 0 1 0
0 0 0 0 1 1 1 0
1 0 1 0 1 0 1 0
1 1 0 1 1 1 1 0
1 0 1 1 1 1 1 0
0 1 1 0 1 1 1 0
1 1 0 0 0 0 1 1
1 1 1 0 1 0 1 1
1 1 1 0 1 0 1 1
1 0 0 0 1 1 1 0
1 1 1 0 1 1 1 0
1 0 1 1 1 0 1 1
1 1 0 0 1 1 1 0
1 0 0 1 1 0 0 0
1 0 0 0 1 0 0 1
1 0 1 0 1 0 0 1
1 0 1 0 1 1 1 0
1 0 1 0 1 0 1 0
1 0 0 0 1 0 1 0
1 1 0 0 1 0 1 0
1 0 0 1 1 1 1 0
0 0 0 0 1 0 0 1
0 0 1 0 1 0 0 0
0 1 0 1 1 0 0 1
1 1 1 0 1 0 1 1
1 1 0 0 1 0 0 1
1 0 1 0 0 0 0 0
1 0 1 0 1 0 1 1
1 0 1 0 1 0 1 1
1 1 0 0 1 1 1 0
1 1 0 0 1 1 1 0
1 0 0 1 0 0 0 1
1 1 0 0 1 0 0 1
1 0 1 0 1 1 1 0
1 1 1 0 1 0 1 1
1 1 0 0 1 0 1 1
1 1 0 0 1 0 1 0
1 0 1 1 1 1 1 0
1 0 1 0 1 0 0 1
0 0 1 0 0 1 1 0
1 1 0 0 1 0 1 1
1 1 0 0 1 1 1 0
1 0 1 0 1 1 0 0
1 0 0 0 1 0 0 1
1 0 1 0 1 1 1 0
1 0 1 1 0 0 1 1
1 1 1 0 0 1 1 0
1 0 1 0 1 0 1 0
1 1 0 0 1 0 0 0
1 1 0 0 1 0 1 0
0 0 0 0 0 0 0 1
1 0 1 0 0 0 1 1
1 1 1 0 1 0 0 1
1 0 1 1 1 1 1 0
1 1 0 0 1 0 1 0
1 1 1 0 1 0 1 0
1 0 1 0 0 0 1 1
1 1 0 1 1 0 0 1
0 0 0 0 1 1 1 0
1 0 1 0 1 0 1 0
1 1 0 1 0 0 0 0
1 0 1 0 0 1 1 0
1 0 1 1 1 1 1 0
1 0 0 0 0 0 1 0
1 1 1 0 0 0 0 0
1 1 0 0 1 1 1 0
1 0 1 1 1 0 1 1
0 1 1 0 1 0 0 0
1 1 1 1 1 0 0 1
1 0 0 0 1 0 0 1
1 0 0 0 1 0 0 1
0 0 0 0 1 1 1 0
1 0 0 1 1 0 0 0
1 1 1 0 1 0 1 1
1 0 0 0 1 1 1 0
1 0 1 0 1 1 1 0
0 1 1 0 0 1 1 0
0 1 0 1 1 0 0 0
1 1 1 0 1 1 1 0
1 0 0 0 1 1 1 0
0 0 1 0 1 0 0 1
1 1 1 1 1 0 0 1
1 1 1 1 1 0 1 1
1 0 1 0 1 1 1 0
0 0 1 0 0 0 1 1
1 0 0 0 1 0 0 1
1 0 0 1 1 0 0 1
1 1 1 1 1 0 0 1
1 0 0 1 1 1 1 0
1 0 1 0 0 0 1 0
0 0 1 1 1 0 0 0
1 0 0 0 1 0 1 1
1 0 0 0 1 0 0 1
1 1 0 0 1 0 0 0
1 0 0 0 0 0 0 1
1 1 0 0 1 1 1 0
0 0 1 1 1 0 1 0
1 1 0 0 1 1 1 0
0 1 0 1 0 1 1 0
1 0 1 0 1 1 1 0
1 0 1 0 1 1 1 0
