method,K,coverage_prior,coverage_gobnilp
back-forth,1,0.47795704892479085,0.43252019784277845
back-forth,2,0.7032053669150442,0.6641972871811581
back-forth,3,0.8574649066584551,0.8267824469437373
back-forth,4,0.9446692196692197,0.9082084731278279
back-forth,5,0.9639414050704374,0.9418923668923669
back-forth,6,0.9806208725563563,0.9604812899167737
back-forth,7,0.9862269749366523,0.9777213676407225
back-forth,8,0.9971198156682028,0.9945361836490869
back-forth,9,1.0,1.0
beam,1,0.47795704892479085,0.43252019784277845
beam,2,0.7069520085649118,0.6824512554351264
beam,3,0.8619285135414169,0.8478567579374031
beam,4,0.8868426376490893,0.8878957064440934
beam,5,0.9049949751562655,0.9105059516349838
beam,6,0.9233300152654992,0.9235183723086948
beam,7,0.9475355588258814,0.9467524112685404
beam,8,0.9765163450647322,0.9747139509236283
beam,9,1.0,1.0
ges,1,0.5045820965175803,0.4607198655585752
ges,2,0.7094239691013884,0.6668237527108495
ges,3,0.8202856283501445,0.7658021787054046
ges,4,0.8732012312657474,0.822619823426275
ges,5,0.9165361221812836,0.86961431638851
ges,6,0.9439456302359528,0.9057285008897912
ges,7,0.9637407395471912,0.9368299561847949
ges,8,0.9860687102622587,0.9737695249792024
ges,9,1.0,1.0
greedy,1,0.47795704892479085,0.43252019784277845
greedy,2,0.7005981473723409,0.6621756827401989
greedy,3,0.8551948947110238,0.8107159417643288
greedy,4,0.9434744765389926,0.897032970016841
greedy,5,0.9639414050704374,0.9341527946366657
greedy,6,0.9806208725563563,0.9568970605260928
greedy,7,0.9862269749366523,0.9759292529453819
greedy,8,0.9971198156682028,0.9945361836490869
greedy,9,1.0,1.0
greedy-lite,1,0.47795704892479085,0.43252019784277845
greedy-lite,2,0.6732409764667829,0.638077916706949
greedy-lite,3,0.8017296323747937,0.7509520199036328
greedy-lite,4,0.8661475919540436,0.8166631755341432
greedy-lite,5,0.9126532070080458,0.866746932875965
greedy-lite,6,0.9439456302359528,0.9057285008897912
greedy-lite,7,0.9791263992876895,0.9625466528692336
greedy-lite,8,0.996561503013116,0.9900821550015098
greedy-lite,9,1.0,1.0
marginal_bdeu_parents,1,0.47806049983469334,0.457792192872838
marginal_bdeu_parents,2,0.7031885677046967,0.6826905919647855
marginal_bdeu_parents,3,0.8552507528313981,0.8356777034196389
marginal_bdeu_parents,4,0.9446692196692197,0.9099768958639927
marginal_bdeu_parents,5,0.9648374624181075,0.9335029068900037
marginal_bdeu_parents,6,0.9806208725563563,0.9634589574105704
marginal_bdeu_parents,7,0.9875710609581577,0.9777213676407225
marginal_bdeu_parents,8,0.9971198156682028,0.9929314263991683
marginal_bdeu_parents,9,1.0,1.0
mb,1,0.4805865281671733,0.4267259622098331
mb,2,0.6718920267307363,0.6102379400766498
mb,3,0.7658640940899005,0.6934743571840346
mb,4,0.8118386690967336,0.7773629148629149
mb,5,0.8567019002502874,0.8079691365981688
mb,6,0.8975608023995121,0.8603686337557305
mb,7,0.9329516958549217,0.8993670009799042
mb,8,0.9613804654127235,0.9590765417378321
mb,9,1.0,1.0
opt,1,0.47664435325725646,0.42552401302401305
opt,2,0.7249665806117419,0.685644522741297
opt,3,0.8876662465372143,0.8615540224411192
opt,4,0.9512581206129593,0.9050047771821965
opt,5,0.970822934532612,0.9310699306667048
opt,6,0.9810209205370496,0.9605032810677971
opt,7,0.9859410899733481,0.9757340180727276
opt,8,0.99668458781362,0.9869291550743163
opt,9,1.0,1.0
pc,1,0.47123700672087765,0.41622300936817064
pc,2,0.6939214310182052,0.6399870440193021
pc,3,0.8070516699548957,0.7433932853287692
pc,4,0.8721902350934609,0.812681807439872
pc,5,0.9136391386391386,0.8578376820312303
pc,6,0.9307230404004598,0.8962228034808679
pc,7,0.9651656288753063,0.9449214017762404
pc,8,0.9864222098093065,0.9758336347046025
pc,9,1.0,1.0
post,1,0.47795704892479085,0.43252019784277845
post,2,0.7069520085649118,0.6873155667510507
post,3,0.8564326951423725,0.8334430354591644
post,4,0.9464521440327892,0.9062846353168933
post,5,0.9665231721683334,0.9386075244946214
post,6,0.9872943663266244,0.9682614428582171
post,7,0.9970223325062034,0.9873863740799225
post,8,1.0,0.9992831541218639
post,9,1.0,1.0
stability,1,0.47795704892479085,0.43252019784277845
stability,2,0.6732409764667829,0.638077916706949
stability,3,0.8017296323747937,0.7509520199036328
stability,4,0.8661475919540436,0.8166631755341432
stability,5,0.9126532070080458,0.866746932875965
stability,6,0.9439456302359528,0.9057285008897912
stability,7,0.9637407395471912,0.9368299561847949
stability,8,0.9860687102622587,0.9737695249792024
stability,9,1.0,1.0
synergy,1,0.47795704892479085,0.43252019784277845
synergy,2,0.6992412605315832,0.6618620626685142
synergy,3,0.8481892360924618,0.7948741521322166
synergy,4,0.9173780222167319,0.8670027851479465
synergy,5,0.9472513746707295,0.9065845146490309
synergy,6,0.9611254933835579,0.9315805311773053
synergy,7,0.9803520553520554,0.9593701847734106
synergy,8,0.9928108629721533,0.984012045302368
synergy,9,1.0,1.0
top,1,0.47795704892479085,0.43252019784277845
top,2,0.6732409764667829,0.638077916706949
top,3,0.8017296323747937,0.7509520199036328
top,4,0.8661475919540436,0.8166631755341432
top,5,0.9126532070080458,0.866746932875965
top,6,0.9439456302359528,0.9057285008897912
top,7,0.9637407395471912,0.9368299561847949
top,8,0.9860687102622587,0.9737695249792024
top,9,1.0,1.0
voting_bdeu_parents,1,0.47795704892479085,0.43252019784277845
voting_bdeu_parents,2,0.6732409764667829,0.638077916706949
voting_bdeu_parents,3,0.8017296323747937,0.7509520199036328
voting_bdeu_parents,4,0.8661475919540436,0.8166631755341432
voting_bdeu_parents,5,0.9126532070080458,0.866746932875965
voting_bdeu_parents,6,0.9439456302359528,0.9057285008897912
voting_bdeu_parents,7,0.9637407395471912,0.9368299561847949
voting_bdeu_parents,8,0.9860687102622587,0.9737695249792024
voting_bdeu_parents,9,1.0,1.0
