0 <- {3, 4}, 1 <- {0, 3}, 2 <- {9, 10}, 3 <- {6, 7}, 4 <- {3, 6, 7}, 5 <- {3, 6}, 6 <- {7}, 7 <- {}, 8 <- {3, 6}, 9 <- {}, 10 <- {9}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {9}, 3 <- {}, 4 <- {3, 6, 7}, 5 <- {3, 6}, 6 <- {3, 8}, 7 <- {3, 6}, 8 <- {3}, 9 <- {}, 10 <- {2, 9}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {}, 3 <- {4, 6, 7}, 4 <- {}, 5 <- {3, 6}, 6 <- {4, 7}, 7 <- {4}, 8 <- {3, 6}, 9 <- {2}, 10 <- {2, 9}
0 <- {1}, 1 <- {}, 2 <- {}, 3 <- {0, 1}, 4 <- {0, 3}, 5 <- {3, 6}, 6 <- {3, 4, 7}, 7 <- {3, 4}, 8 <- {3, 6}, 9 <- {2}, 10 <- {2, 9}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {9}, 3 <- {4, 6}, 4 <- {}, 5 <- {3, 6}, 6 <- {4}, 7 <- {3, 4, 6}, 8 <- {3, 6}, 9 <- {}, 10 <- {2, 9}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {}, 3 <- {5}, 4 <- {3, 6}, 5 <- {}, 6 <- {3, 5}, 7 <- {3, 4, 6}, 8 <- {3, 6}, 9 <- {2, 10}, 10 <- {2}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {}, 3 <- {4, 6, 7}, 4 <- {6, 7}, 5 <- {3, 6}, 6 <- {}, 7 <- {6}, 8 <- {3, 6}, 9 <- {2, 10}, 10 <- {2}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {10}, 3 <- {4, 6, 7}, 4 <- {6, 7}, 5 <- {3, 6}, 6 <- {7}, 7 <- {}, 8 <- {3, 6}, 9 <- {2, 10}, 10 <- {}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {10}, 3 <- {}, 4 <- {3, 6, 7}, 5 <- {3, 6}, 6 <- {3, 7}, 7 <- {3}, 8 <- {3, 6}, 9 <- {2, 10}, 10 <- {}
0 <- {1, 3}, 1 <- {3}, 2 <- {}, 3 <- {}, 4 <- {0, 3}, 5 <- {3, 6}, 6 <- {3, 4}, 7 <- {3, 4, 6}, 8 <- {3, 6}, 9 <- {2, 10}, 10 <- {2}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {9, 10}, 3 <- {6, 8}, 4 <- {3, 6}, 5 <- {3, 6}, 6 <- {}, 7 <- {3, 4, 6}, 8 <- {6}, 9 <- {10}, 10 <- {}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {}, 3 <- {}, 4 <- {3, 6}, 5 <- {3, 6}, 6 <- {3, 8}, 7 <- {3, 4, 6}, 8 <- {3}, 9 <- {2, 10}, 10 <- {2}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {10}, 3 <- {4, 6, 7}, 4 <- {}, 5 <- {3, 6}, 6 <- {4}, 7 <- {4, 6}, 8 <- {3, 6}, 9 <- {2, 10}, 10 <- {}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {9, 10}, 3 <- {5, 6}, 4 <- {3, 6, 7}, 5 <- {}, 6 <- {5}, 7 <- {3, 6}, 8 <- {3, 6}, 9 <- {10}, 10 <- {}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {}, 3 <- {}, 4 <- {3, 7}, 5 <- {3, 6}, 6 <- {3, 4, 7}, 7 <- {3}, 8 <- {3, 6}, 9 <- {2, 10}, 10 <- {2}
0 <- {1, 3}, 1 <- {3}, 2 <- {9}, 3 <- {}, 4 <- {0, 3}, 5 <- {3, 6}, 6 <- {3, 4}, 7 <- {3, 4, 6}, 8 <- {3, 6}, 9 <- {}, 10 <- {2, 9}
0 <- {3, 4}, 1 <- {0, 3}, 2 <- {}, 3 <- {4, 6, 7}, 4 <- {}, 5 <- {3, 6}, 6 <- {4, 7}, 7 <- {4}, 8 <- {3, 6}, 9 <- {2, 10}, 10 <- {2}
